Year,race,sex,Arrest type,Juvenile indicator,Total Arrests,Population,"Arrests per 100,000"
1980,All Combined,Both Combined,All Combined,0,1400399,17230300,8127.537
1981,All Combined,Both Combined,All Combined,0,1521843,17706106.72,8595.018
1982,All Combined,Both Combined,All Combined,0,1520619,18181913.47,8363.36
1983,All Combined,Both Combined,All Combined,0,1568574,18657720.03,8407.104
1984,All Combined,Both Combined,All Combined,0,1610792,19133526.84,8418.688
1985,All Combined,Both Combined,All Combined,0,1783798,19609333.5,9096.679
1986,All Combined,Both Combined,All Combined,0,1878421,20085140.16,9352.292
1987,All Combined,Both Combined,All Combined,0,1946009,20560947,9464.588
1988,All Combined,Both Combined,All Combined,0,2040727,21036753.5,9700.77
1989,All Combined,Both Combined,All Combined,0,2152101,21512560.31,10003.93
1990,All Combined,Both Combined,All Combined,0,2172291,21988367,9879.273
1991,All Combined,Both Combined,All Combined,0,1931896,22255857.59,8680.394
1992,All Combined,Both Combined,All Combined,0,1809945,22523348.38,8035.861
1993,All Combined,Both Combined,All Combined,0,1713532,22790839.22,7518.512
1994,All Combined,Both Combined,All Combined,0,1692917,23058329.91,7341.889
1995,All Combined,Both Combined,All Combined,0,1631789,23325820.5,6995.634
1996,All Combined,Both Combined,All Combined,0,1641343,23593311.13,6956.815
1997,All Combined,Both Combined,All Combined,0,1654144,23860801.72,6932.475
1998,All Combined,Both Combined,All Combined,0,1611960,24128292.78,6680.788
1999,All Combined,Both Combined,All Combined,0,1523933,24395783.31,6246.707
2000,All Combined,Both Combined,All Combined,0,1460705,24663274,5922.592
2001,All Combined,Both Combined,All Combined,0,1464475,24050763,6089.1
2002,All Combined,Both Combined,All Combined,0,1492372,24903151,5992.704
2003,All Combined,Both Combined,All Combined,0,1555026,25298742,6146.653
2004,All Combined,Both Combined,All Combined,0,1608227,25494686,6308.087
2005,All Combined,Both Combined,All Combined,0,1629425,25665530,6348.69
2006,All Combined,Both Combined,All Combined,0,1657456,26913190,6158.527
2007,All Combined,Both Combined,All Combined,0,1665370,27145831,6134.901
2008,All Combined,Both Combined,All Combined,0,1681857,27407685,6136.443
2009,All Combined,Both Combined,All Combined,0,1614696,27529898,5865.245
2010,All Combined,Both Combined,All Combined,0,1521167,28045434,5423.938
2011,All Combined,Both Combined,All Combined,0,1395868,28428497,4910.101
2012,All Combined,Both Combined,All Combined,0,1383367,28811886,4801.376
2013,All Combined,Both Combined,All Combined,0,1363614,29166485,4675.277
1980,All Combined,Both Combined,Felony - Drug,0,57682,17230300,334.7707
1981,All Combined,Both Combined,Felony - Drug,0,60765,17706106.72,343.1867
1982,All Combined,Both Combined,Felony - Drug,0,62456,18181913.47,343.5062
1983,All Combined,Both Combined,Felony - Drug,0,73318,18657720.03,392.9633
1984,All Combined,Both Combined,Felony - Drug,0,85408,19133526.84,446.3788
1985,All Combined,Both Combined,Felony - Drug,0,99834,19609333.5,509.1147
1986,All Combined,Both Combined,Felony - Drug,0,120365,20085140.16,599.2739
1987,All Combined,Both Combined,Felony - Drug,0,134751,20560947,655.3735
1988,All Combined,Both Combined,Felony - Drug,0,158510,21036753.5,753.4908
1989,All Combined,Both Combined,Felony - Drug,0,163742,21512560.31,761.1461
1990,All Combined,Both Combined,Felony - Drug,0,137393,21988367,624.8441
1991,All Combined,Both Combined,Felony - Drug,0,117845,22255857.59,529.501
1992,All Combined,Both Combined,Felony - Drug,0,127812,22523348.38,567.4645
1993,All Combined,Both Combined,Felony - Drug,0,129082,22790839.22,566.3767
1994,All Combined,Both Combined,Felony - Drug,0,145800,23058329.91,632.3094
1995,All Combined,Both Combined,Felony - Drug,0,133336,23325820.5,571.624
1996,All Combined,Both Combined,Felony - Drug,0,131851,23593311.13,558.8491
1997,All Combined,Both Combined,Felony - Drug,0,144615,23860801.72,606.0777
1998,All Combined,Both Combined,Felony - Drug,0,134374,24128292.78,556.9147
1999,All Combined,Both Combined,Felony - Drug,0,126849,24395783.31,519.9628
2000,All Combined,Both Combined,Felony - Drug,0,121909,24663274,494.2937
2001,All Combined,Both Combined,Felony - Drug,0,118733,24050763,493.6766
2002,All Combined,Both Combined,Felony - Drug,0,125439,24903151,503.7073
2003,All Combined,Both Combined,Felony - Drug,0,134924,25298742,533.3229
2004,All Combined,Both Combined,Felony - Drug,0,144437,25494686,566.5377
2005,All Combined,Both Combined,Felony - Drug,0,153856,25665530,599.4655
2006,All Combined,Both Combined,Felony - Drug,0,148769,26913190,552.7736
2007,All Combined,Both Combined,Felony - Drug,0,138193,27145831,509.0763
2008,All Combined,Both Combined,Felony - Drug,0,123570,27407685,450.8589
2009,All Combined,Both Combined,Felony - Drug,0,113111,27529898,410.866
2010,All Combined,Both Combined,Felony - Drug,0,115089,28045434,410.3663
2011,All Combined,Both Combined,Felony - Drug,0,110535,28428497,388.8176
2012,All Combined,Both Combined,Felony - Drug,0,117350,28811886,407.2972
2013,All Combined,Both Combined,Felony - Drug,0,133727,29166485,458.4954
1980,All Combined,Both Combined,Felony - Other,0,52292,17230300,303.4886
1981,All Combined,Both Combined,Felony - Other,0,56058,17706106.72,316.6026
1982,All Combined,Both Combined,Felony - Other,0,58528,18181913.47,321.9023
1983,All Combined,Both Combined,Felony - Other,0,55730,18657720.03,298.6967
1984,All Combined,Both Combined,Felony - Other,0,55024,19133526.84,287.579
1985,All Combined,Both Combined,Felony - Other,0,54755,19609333.5,279.2293
1986,All Combined,Both Combined,Felony - Other,0,60192,20085140.16,299.6842
1987,All Combined,Both Combined,Felony - Other,0,67342,20560947,327.5238
1988,All Combined,Both Combined,Felony - Other,0,77031,21036753.5,366.1734
1989,All Combined,Both Combined,Felony - Other,0,85050,21512560.31,395.3504
1990,All Combined,Both Combined,Felony - Other,0,91638,21988367,416.7567
1991,All Combined,Both Combined,Felony - Other,0,87333,22255857.59,392.4046
1992,All Combined,Both Combined,Felony - Other,0,91127,22523348.38,404.5891
1993,All Combined,Both Combined,Felony - Other,0,96571,22790839.22,423.7273
1994,All Combined,Both Combined,Felony - Other,0,101709,23058329.91,441.0944
1995,All Combined,Both Combined,Felony - Other,0,101706,23325820.5,436.0233
1996,All Combined,Both Combined,Felony - Other,0,104818,23593311.13,444.27
1997,All Combined,Both Combined,Felony - Other,0,111839,23860801.72,468.7144
1998,All Combined,Both Combined,Felony - Other,0,111758,24128292.78,463.1824
1999,All Combined,Both Combined,Felony - Other,0,107883,24395783.31,442.2199
2000,All Combined,Both Combined,Felony - Other,0,111628,24663274,452.6082
2001,All Combined,Both Combined,Felony - Other,0,117345,24050763,487.9055
2002,All Combined,Both Combined,Felony - Other,0,127148,24903151,510.5699
2003,All Combined,Both Combined,Felony - Other,0,131896,25298742,521.354
2004,All Combined,Both Combined,Felony - Other,0,137662,25494686,539.9635
2005,All Combined,Both Combined,Felony - Other,0,148105,25665530,577.058
2006,All Combined,Both Combined,Felony - Other,0,152039,26913190,564.9238
2007,All Combined,Both Combined,Felony - Other,0,154920,27145831,570.6954
2008,All Combined,Both Combined,Felony - Other,0,154210,27407685,562.6524
2009,All Combined,Both Combined,Felony - Other,0,141665,27529898,514.586
2010,All Combined,Both Combined,Felony - Other,0,130973,28045434,467.0029
2011,All Combined,Both Combined,Felony - Other,0,129603,28428497,455.8911
2012,All Combined,Both Combined,Felony - Other,0,139574,28811886,484.432
2013,All Combined,Both Combined,Felony - Other,0,140212,29166485,480.7299
1980,All Combined,Both Combined,Felony - Property,0,112140,17230300,650.8302
1981,All Combined,Both Combined,Felony - Property,0,121429,17706106.72,685.8029
1982,All Combined,Both Combined,Felony - Property,0,127565,18181913.47,701.6038
1983,All Combined,Both Combined,Felony - Property,0,122903,18657720.03,658.7247
1984,All Combined,Both Combined,Felony - Property,0,121135,19133526.84,633.1033
1985,All Combined,Both Combined,Felony - Property,0,129693,19609333.5,661.384
1986,All Combined,Both Combined,Felony - Property,0,140167,20085140.16,697.8642
1987,All Combined,Both Combined,Felony - Property,0,140935,20560947,685.45
1988,All Combined,Both Combined,Felony - Property,0,151873,21036753.5,721.9412
1989,All Combined,Both Combined,Felony - Property,0,160806,21512560.31,747.4982
1990,All Combined,Both Combined,Felony - Property,0,152665,21988367,694.299
1991,All Combined,Both Combined,Felony - Property,0,142377,22255857.59,639.7282
1992,All Combined,Both Combined,Felony - Property,0,147241,22523348.38,653.7261
1993,All Combined,Both Combined,Felony - Property,0,144198,22790839.22,632.7016
1994,All Combined,Both Combined,Felony - Property,0,139273,23058329.91,604.003
1995,All Combined,Both Combined,Felony - Property,0,131115,23325820.5,562.1024
1996,All Combined,Both Combined,Felony - Property,0,119364,23593311.13,505.9231
1997,All Combined,Both Combined,Felony - Property,0,116911,23860801.72,489.971
1998,All Combined,Both Combined,Felony - Property,0,106026,24128292.78,439.426
1999,All Combined,Both Combined,Felony - Property,0,92630,24395783.31,379.6968
2000,All Combined,Both Combined,Felony - Property,0,94361,24663274,382.5972
2001,All Combined,Both Combined,Felony - Property,0,103688,24050763,431.1215
2002,All Combined,Both Combined,Felony - Property,0,108966,24903151,437.5591
2003,All Combined,Both Combined,Felony - Property,0,116497,25298742,460.4854
2004,All Combined,Both Combined,Felony - Property,0,122805,25494686,481.6886
2005,All Combined,Both Combined,Felony - Property,0,122283,25665530,476.4484
2006,All Combined,Both Combined,Felony - Property,0,118375,26913190,439.8401
2007,All Combined,Both Combined,Felony - Property,0,115661,27145831,426.0728
2008,All Combined,Both Combined,Felony - Property,0,111077,27407685,405.2769
2009,All Combined,Both Combined,Felony - Property,0,103713,27529898,376.7286
2010,All Combined,Both Combined,Felony - Property,0,99759,28045434,355.705
2011,All Combined,Both Combined,Felony - Property,0,89622,28428497,315.2541
2012,All Combined,Both Combined,Felony - Property,0,95271,28811886,330.6656
2013,All Combined,Both Combined,Felony - Property,0,94538,29166485,324.1323
1980,All Combined,Both Combined,Felony - Violent/Sex,0,72777,17230300,422.378
1981,All Combined,Both Combined,Felony - Violent/Sex,0,74295,17706106.72,419.601
1982,All Combined,Both Combined,Felony - Violent/Sex,0,71706,18181913.47,394.3809
1983,All Combined,Both Combined,Felony - Violent/Sex,0,67809,18657720.03,363.4367
1984,All Combined,Both Combined,Felony - Violent/Sex,0,72241,19133526.84,377.5624
1985,All Combined,Both Combined,Felony - Violent/Sex,0,74328,19609333.5,379.044
1986,All Combined,Both Combined,Felony - Violent/Sex,0,95262,20085140.16,474.291
1987,All Combined,Both Combined,Felony - Violent/Sex,0,103649,20560947,504.1062
1988,All Combined,Both Combined,Felony - Violent/Sex,0,110930,21036753.5,527.3152
1989,All Combined,Both Combined,Felony - Violent/Sex,0,122575,21512560.31,569.7834
1990,All Combined,Both Combined,Felony - Violent/Sex,0,136625,21988367,621.3513
1991,All Combined,Both Combined,Felony - Violent/Sex,0,131702,22255857.59,591.7633
1992,All Combined,Both Combined,Felony - Violent/Sex,0,135786,22523348.38,602.8677
1993,All Combined,Both Combined,Felony - Violent/Sex,0,134714,22790839.22,591.0884
1994,All Combined,Both Combined,Felony - Violent/Sex,0,137615,23058329.91,596.8125
1995,All Combined,Both Combined,Felony - Violent/Sex,0,137849,23325820.5,590.9717
1996,All Combined,Both Combined,Felony - Violent/Sex,0,135915,23593311.13,576.0743
1997,All Combined,Both Combined,Felony - Violent/Sex,0,141206,23860801.72,591.7906
1998,All Combined,Both Combined,Felony - Violent/Sex,0,131956,24128292.78,546.8932
1999,All Combined,Both Combined,Felony - Violent/Sex,0,124810,24395783.31,511.6048
2000,All Combined,Both Combined,Felony - Violent/Sex,0,122896,24663274,498.2956
2001,All Combined,Both Combined,Felony - Violent/Sex,0,126375,24050763,525.4511
2002,All Combined,Both Combined,Felony - Violent/Sex,0,124190,24903151,498.6919
2003,All Combined,Both Combined,Felony - Violent/Sex,0,123375,25298742,487.6725
2004,All Combined,Both Combined,Felony - Violent/Sex,0,119410,25494686,468.3721
2005,All Combined,Both Combined,Felony - Violent/Sex,0,117630,25665530,458.319
2006,All Combined,Both Combined,Felony - Violent/Sex,0,117237,26913190,435.6117
2007,All Combined,Both Combined,Felony - Violent/Sex,0,118990,27145831,438.3362
2008,All Combined,Both Combined,Felony - Violent/Sex,0,117978,27407685,430.4559
2009,All Combined,Both Combined,Felony - Violent/Sex,0,115565,27529898,419.78
2010,All Combined,Both Combined,Felony - Violent/Sex,0,109736,28045434,391.2794
2011,All Combined,Both Combined,Felony - Violent/Sex,0,105170,28428497,369.9457
2012,All Combined,Both Combined,Felony - Violent/Sex,0,104096,28811886,361.2953
2013,All Combined,Both Combined,Felony - Violent/Sex,0,100792,29166485,345.5747
1980,All Combined,Both Combined,Misdemeanor,0,1105508,17230300,6416.069
1981,All Combined,Both Combined,Misdemeanor,0,1209296,17706106.72,6829.824
1982,All Combined,Both Combined,Misdemeanor,0,1200364,18181913.47,6601.967
1983,All Combined,Both Combined,Misdemeanor,0,1248814,18657720.03,6693.283
1984,All Combined,Both Combined,Misdemeanor,0,1276984,19133526.84,6674.065
1985,All Combined,Both Combined,Misdemeanor,0,1425188,19609333.5,7267.906
1986,All Combined,Both Combined,Misdemeanor,0,1462435,20085140.16,7281.179
1987,All Combined,Both Combined,Misdemeanor,0,1499332,20560947,7292.135
1988,All Combined,Both Combined,Misdemeanor,0,1542383,21036753.5,7331.849
1989,All Combined,Both Combined,Misdemeanor,0,1619928,21512560.31,7530.15
1990,All Combined,Both Combined,Misdemeanor,0,1653970,21988367,7522.023
1991,All Combined,Both Combined,Misdemeanor,0,1452639,22255857.59,6526.996
1992,All Combined,Both Combined,Misdemeanor,0,1307979,22523348.38,5807.214
1993,All Combined,Both Combined,Misdemeanor,0,1208967,22790839.22,5304.618
1994,All Combined,Both Combined,Misdemeanor,0,1168520,23058329.91,5067.67
1995,All Combined,Both Combined,Misdemeanor,0,1127783,23325820.5,4834.913
1996,All Combined,Both Combined,Misdemeanor,0,1149395,23593311.13,4871.699
1997,All Combined,Both Combined,Misdemeanor,0,1139573,23860801.72,4775.921
1998,All Combined,Both Combined,Misdemeanor,0,1127846,24128292.78,4674.371
1999,All Combined,Both Combined,Misdemeanor,0,1071761,24395783.31,4393.222
2000,All Combined,Both Combined,Misdemeanor,0,1009911,24663274,4094.797
2001,All Combined,Both Combined,Misdemeanor,0,998334,24050763,4150.945
2002,All Combined,Both Combined,Misdemeanor,0,1006629,24903151,4042.175
2003,All Combined,Both Combined,Misdemeanor,0,1048334,25298742,4143.819
2004,All Combined,Both Combined,Misdemeanor,0,1083913,25494686,4251.525
2005,All Combined,Both Combined,Misdemeanor,0,1087551,25665530,4237.399
2006,All Combined,Both Combined,Misdemeanor,0,1121036,26913190,4165.377
2007,All Combined,Both Combined,Misdemeanor,0,1137606,27145831,4190.721
2008,All Combined,Both Combined,Misdemeanor,0,1175022,27407685,4287.199
2009,All Combined,Both Combined,Misdemeanor,0,1140642,27529898,4143.285
2010,All Combined,Both Combined,Misdemeanor,0,1065610,28045434,3799.585
2011,All Combined,Both Combined,Misdemeanor,0,960938,28428497,3380.193
2012,All Combined,Both Combined,Misdemeanor,0,927076,28811886,3217.686
2013,All Combined,Both Combined,Misdemeanor,0,894345,29166485,3066.345
1980,All Combined,Both Combined,Status,0,0,17230300,0
1981,All Combined,Both Combined,Status,0,0,17706106.72,0
1982,All Combined,Both Combined,Status,0,0,18181913.47,0
1983,All Combined,Both Combined,Status,0,0,18657720.03,0
1984,All Combined,Both Combined,Status,0,0,19133526.84,0
1985,All Combined,Both Combined,Status,0,0,19609333.5,0
1986,All Combined,Both Combined,Status,0,0,20085140.16,0
1987,All Combined,Both Combined,Status,0,0,20560947,0
1988,All Combined,Both Combined,Status,0,0,21036753.5,0
1989,All Combined,Both Combined,Status,0,0,21512560.31,0
1990,All Combined,Both Combined,Status,0,0,21988367,0
1991,All Combined,Both Combined,Status,0,0,22255857.59,0
1992,All Combined,Both Combined,Status,0,0,22523348.38,0
1993,All Combined,Both Combined,Status,0,0,22790839.22,0
1994,All Combined,Both Combined,Status,0,0,23058329.91,0
1995,All Combined,Both Combined,Status,0,0,23325820.5,0
1996,All Combined,Both Combined,Status,0,0,23593311.13,0
1997,All Combined,Both Combined,Status,0,0,23860801.72,0
1998,All Combined,Both Combined,Status,0,0,24128292.78,0
1999,All Combined,Both Combined,Status,0,0,24395783.31,0
2000,All Combined,Both Combined,Status,0,0,24663274,0
2001,All Combined,Both Combined,Status,0,0,24050763,0
2002,All Combined,Both Combined,Status,0,0,24903151,0
2003,All Combined,Both Combined,Status,0,0,25298742,0
2004,All Combined,Both Combined,Status,0,0,25494686,0
2005,All Combined,Both Combined,Status,0,0,25665530,0
2006,All Combined,Both Combined,Status,0,0,26913190,0
2007,All Combined,Both Combined,Status,0,0,27145831,0
2008,All Combined,Both Combined,Status,0,0,27407685,0
2009,All Combined,Both Combined,Status,0,0,27529898,0
2010,All Combined,Both Combined,Status,0,0,28045434,0
2011,All Combined,Both Combined,Status,0,0,28428497,0
2012,All Combined,Both Combined,Status,0,0,28811886,0
2013,All Combined,Both Combined,Status,0,0,29166485,0
1980,All Combined,Female,All Combined,0,176709,8878600,1990.28
1981,All Combined,Female,All Combined,0,199481,9100782.797,2191.91
1982,All Combined,Female,All Combined,0,210665,9322965.563,2259.635
1983,All Combined,Female,All Combined,0,221794,9545148.5,2323.631
1984,All Combined,Female,All Combined,0,229670,9767331.219,2351.41
1985,All Combined,Female,All Combined,0,258075,9989514,2583.459
1986,All Combined,Female,All Combined,0,274488,10211696.78,2687.976
1987,All Combined,Female,All Combined,0,292210,10433879.5,2800.588
1988,All Combined,Female,All Combined,0,314538,10656062.47,2951.728
1989,All Combined,Female,All Combined,0,341719,10878245.13,3141.306
1990,All Combined,Female,All Combined,0,346568,11100428,3122.114
1991,All Combined,Female,All Combined,0,309263,11245496.77,2750.105
1992,All Combined,Female,All Combined,0,301019,11390565.39,2642.705
1993,All Combined,Female,All Combined,0,291788,11535634.14,2529.449
1994,All Combined,Female,All Combined,0,298749,11680702.78,2557.629
1995,All Combined,Female,All Combined,0,294137,11825771.5,2487.254
1996,All Combined,Female,All Combined,0,299642,11970840.22,2503.099
1997,All Combined,Female,All Combined,0,312518,12115908.89,2579.402
1998,All Combined,Female,All Combined,0,303118,12260977.61,2472.217
1999,All Combined,Female,All Combined,0,281918,12406046.34,2272.424
2000,All Combined,Female,All Combined,0,273439,12551115,2178.603
2001,All Combined,Female,All Combined,0,278784,12311489,2264.421
2002,All Combined,Female,All Combined,0,288665,12743589,2265.178
2003,All Combined,Female,All Combined,0,308329,12908627,2388.55
2004,All Combined,Female,All Combined,0,326371,13016395,2507.384
2005,All Combined,Female,All Combined,0,332137,13076050,2540.041
2006,All Combined,Female,All Combined,0,336976,13565186,2484.124
2007,All Combined,Female,All Combined,0,343441,13680468,2510.448
2008,All Combined,Female,All Combined,0,354073,13811667,2563.579
2009,All Combined,Female,All Combined,0,352206,13855146,2542.059
2010,All Combined,Female,All Combined,0,344015,14238965,2416.011
2011,All Combined,Female,All Combined,0,323841,14423636,2245.21
2012,All Combined,Female,All Combined,0,321715,14618952,2200.671
2013,All Combined,Female,All Combined,0,323221,14802893,2183.499
1980,All Combined,Female,Felony - Drug,0,9879,8878600,111.2675
1981,All Combined,Female,Felony - Drug,0,10699,9100782.797,117.5613
1982,All Combined,Female,Felony - Drug,0,10840,9322965.563,116.272
1983,All Combined,Female,Felony - Drug,0,12853,9545148.5,134.6548
1984,All Combined,Female,Felony - Drug,0,14367,9767331.219,147.0924
1985,All Combined,Female,Felony - Drug,0,16129,9989514,161.4593
1986,All Combined,Female,Felony - Drug,0,19289,10211696.78,188.8912
1987,All Combined,Female,Felony - Drug,0,22509,10433879.5,215.7299
1988,All Combined,Female,Felony - Drug,0,27588,10656062.47,258.8949
1989,All Combined,Female,Felony - Drug,0,29942,10878245.13,275.2466
1990,All Combined,Female,Felony - Drug,0,24911,11100428,224.4148
1991,All Combined,Female,Felony - Drug,0,20994,11245496.77,186.6881
1992,All Combined,Female,Felony - Drug,0,22785,11390565.39,200.034
1993,All Combined,Female,Felony - Drug,0,23371,11535634.14,202.5983
1994,All Combined,Female,Felony - Drug,0,27598,11680702.78,236.27
1995,All Combined,Female,Felony - Drug,0,25988,11825771.5,219.7573
1996,All Combined,Female,Felony - Drug,0,26399,11970840.22,220.5275
1997,All Combined,Female,Felony - Drug,0,29631,12115908.89,244.5627
1998,All Combined,Female,Felony - Drug,0,27738,12260977.61,226.2299
1999,All Combined,Female,Felony - Drug,0,26350,12406046.34,212.3964
2000,All Combined,Female,Felony - Drug,0,25478,12551115,202.9939
2001,All Combined,Female,Felony - Drug,0,24768,12311489,201.1779
2002,All Combined,Female,Felony - Drug,0,25684,12743589,201.5445
2003,All Combined,Female,Felony - Drug,0,27382,12908627,212.1217
2004,All Combined,Female,Felony - Drug,0,29759,13016395,228.627
2005,All Combined,Female,Felony - Drug,0,31346,13076050,239.7207
2006,All Combined,Female,Felony - Drug,0,31045,13565186,228.8579
2007,All Combined,Female,Felony - Drug,0,28356,13680468,207.2736
2008,All Combined,Female,Felony - Drug,0,25328,13811667,183.3812
2009,All Combined,Female,Felony - Drug,0,23538,13855146,169.8863
2010,All Combined,Female,Felony - Drug,0,24430,14238965,171.5715
2011,All Combined,Female,Felony - Drug,0,23836,14423636,165.2565
2012,All Combined,Female,Felony - Drug,0,25216,14618952,172.4884
2013,All Combined,Female,Felony - Drug,0,29132,14802893,196.7994
1980,All Combined,Female,Felony - Other,0,5072,8878600,57.12613
1981,All Combined,Female,Felony - Other,0,5712,9100782.797,62.76383
1982,All Combined,Female,Felony - Other,0,6715,9322965.563,72.02644
1983,All Combined,Female,Felony - Other,0,6327,9545148.5,66.28498
1984,All Combined,Female,Felony - Other,0,6898,9767331.219,70.62318
1985,All Combined,Female,Felony - Other,0,6660,9989514,66.66991
1986,All Combined,Female,Felony - Other,0,7407,10211696.78,72.53447
1987,All Combined,Female,Felony - Other,0,8728,10433879.5,83.65057
1988,All Combined,Female,Felony - Other,0,10523,10656062.47,98.7513
1989,All Combined,Female,Felony - Other,0,12023,10878245.13,110.5233
1990,All Combined,Female,Felony - Other,0,12774,11100428,115.0766
1991,All Combined,Female,Felony - Other,0,11990,11245496.77,106.6205
1992,All Combined,Female,Felony - Other,0,12974,11390565.39,113.9013
1993,All Combined,Female,Felony - Other,0,13917,11535634.14,120.6436
1994,All Combined,Female,Felony - Other,0,14991,11680702.78,128.3399
1995,All Combined,Female,Felony - Other,0,15608,11825771.5,131.9829
1996,All Combined,Female,Felony - Other,0,16268,11970840.22,135.8969
1997,All Combined,Female,Felony - Other,0,17647,12115908.89,145.6515
1998,All Combined,Female,Felony - Other,0,18242,12260977.61,148.781
1999,All Combined,Female,Felony - Other,0,17370,12406046.34,140.0124
2000,All Combined,Female,Felony - Other,0,18450,12551115,146.9989
2001,All Combined,Female,Felony - Other,0,19163,12311489,155.6514
2002,All Combined,Female,Felony - Other,0,20877,12743589,163.8235
2003,All Combined,Female,Felony - Other,0,22110,12908627,171.2808
2004,All Combined,Female,Felony - Other,0,23165,13016395,177.9679
2005,All Combined,Female,Felony - Other,0,24585,13076050,188.0155
2006,All Combined,Female,Felony - Other,0,25405,13565186,187.2809
2007,All Combined,Female,Felony - Other,0,25546,13680468,186.7334
2008,All Combined,Female,Felony - Other,0,25562,13811667,185.0754
2009,All Combined,Female,Felony - Other,0,23493,13855146,169.5616
2010,All Combined,Female,Felony - Other,0,21082,14238965,148.0585
2011,All Combined,Female,Felony - Other,0,20237,14423636,140.3044
2012,All Combined,Female,Felony - Other,0,22251,14618952,152.2065
2013,All Combined,Female,Felony - Other,0,24908,14802893,168.2644
1980,All Combined,Female,Felony - Property,0,15846,8878600,178.4741
1981,All Combined,Female,Felony - Property,0,17901,9100782.797,196.6974
1982,All Combined,Female,Felony - Property,0,19990,9322965.563,214.4167
1983,All Combined,Female,Felony - Property,0,20037,9545148.5,209.9182
1984,All Combined,Female,Felony - Property,0,20391,9767331.219,208.7674
1985,All Combined,Female,Felony - Property,0,22479,9989514,225.026
1986,All Combined,Female,Felony - Property,0,24670,10211696.78,241.5857
1987,All Combined,Female,Felony - Property,0,25042,10433879.5,240.0066
1988,All Combined,Female,Felony - Property,0,26658,10656062.47,250.1674
1989,All Combined,Female,Felony - Property,0,28428,10878245.13,261.3289
1990,All Combined,Female,Felony - Property,0,27469,11100428,247.4589
1991,All Combined,Female,Felony - Property,0,25381,11245496.77,225.6992
1992,All Combined,Female,Felony - Property,0,27337,11390565.39,239.9969
1993,All Combined,Female,Felony - Property,0,27900,11535634.14,241.8593
1994,All Combined,Female,Felony - Property,0,28977,11680702.78,248.0758
1995,All Combined,Female,Felony - Property,0,28438,11825771.5,240.4748
1996,All Combined,Female,Felony - Property,0,26531,11970840.22,221.6302
1997,All Combined,Female,Felony - Property,0,28143,12115908.89,232.2814
1998,All Combined,Female,Felony - Property,0,25822,12260977.61,210.6031
1999,All Combined,Female,Felony - Property,0,23245,12406046.34,187.3683
2000,All Combined,Female,Felony - Property,0,24180,12551115,192.6522
2001,All Combined,Female,Felony - Property,0,27116,12311489,220.2496
2002,All Combined,Female,Felony - Property,0,28276,12743589,221.8841
2003,All Combined,Female,Felony - Property,0,30440,12908627,235.8113
2004,All Combined,Female,Felony - Property,0,32745,13016395,251.5674
2005,All Combined,Female,Felony - Property,0,32724,13076050,250.2591
2006,All Combined,Female,Felony - Property,0,32148,13565186,236.989
2007,All Combined,Female,Felony - Property,0,32577,13680468,238.1278
2008,All Combined,Female,Felony - Property,0,31530,13811667,228.2853
2009,All Combined,Female,Felony - Property,0,29986,13855146,216.425
2010,All Combined,Female,Felony - Property,0,29347,14238965,206.1035
2011,All Combined,Female,Felony - Property,0,25113,14423636,174.11
2012,All Combined,Female,Felony - Property,0,25824,14618952,176.6474
2013,All Combined,Female,Felony - Property,0,26156,14802893,176.6952
1980,All Combined,Female,Felony - Violent/Sex,0,7015,8878600,79.0102
1981,All Combined,Female,Felony - Violent/Sex,0,7180,9100782.797,78.89431
1982,All Combined,Female,Felony - Violent/Sex,0,6917,9322965.563,74.19313
1983,All Combined,Female,Felony - Violent/Sex,0,6794,9545148.5,71.17752
1984,All Combined,Female,Felony - Violent/Sex,0,7252,9767331.219,74.24751
1985,All Combined,Female,Felony - Violent/Sex,0,7425,9989514,74.32794
1986,All Combined,Female,Felony - Violent/Sex,0,9367,10211696.78,91.72814
1987,All Combined,Female,Felony - Violent/Sex,0,10273,10433879.5,98.45811
1988,All Combined,Female,Felony - Violent/Sex,0,11011,10656062.47,103.3308
1989,All Combined,Female,Felony - Violent/Sex,0,12020,10878245.13,110.4958
1990,All Combined,Female,Felony - Violent/Sex,0,13018,11100428,117.2748
1991,All Combined,Female,Felony - Violent/Sex,0,12691,11245496.77,112.8541
1992,All Combined,Female,Felony - Violent/Sex,0,14000,11390565.39,122.9087
1993,All Combined,Female,Felony - Violent/Sex,0,14728,11535634.14,127.674
1994,All Combined,Female,Felony - Violent/Sex,0,16375,11680702.78,140.1885
1995,All Combined,Female,Felony - Violent/Sex,0,17690,11825771.5,149.5885
1996,All Combined,Female,Felony - Violent/Sex,0,18471,11970840.22,154.2999
1997,All Combined,Female,Felony - Violent/Sex,0,20662,12115908.89,170.5361
1998,All Combined,Female,Felony - Violent/Sex,0,19895,12260977.61,162.2628
1999,All Combined,Female,Felony - Violent/Sex,0,19052,12406046.34,153.5703
2000,All Combined,Female,Felony - Violent/Sex,0,19493,12551115,155.3089
2001,All Combined,Female,Felony - Violent/Sex,0,20183,12311489,163.9363
2002,All Combined,Female,Felony - Violent/Sex,0,20064,12743589,157.4439
2003,All Combined,Female,Felony - Violent/Sex,0,20345,12908627,157.6078
2004,All Combined,Female,Felony - Violent/Sex,0,19889,13016395,152.7996
2005,All Combined,Female,Felony - Violent/Sex,0,19696,13076050,150.6265
